loan_word,original_word
Irlbeck,Irlbeck
Isch,Isch
Islampolitik,Islampolitik
isodapane,Isodapane
isopiptesis,Isepiptesen
isorhythm,Isorhythmik
isotim,Isotim
Jabs,Jabs
jaeger,Jäger
Jaggi,Jäggi
Jahnke,Jahnke
Jann,Jann
Jansch,Jansch
Jantz,Jantz
Janz,Janz
Jauch,Jauch
Jehle,Jehle
Jena,Jena
Jeske,Jeske
Joachimsthaler,Joachimsthaler
Jobst,Jobst
Jod-Basedow phenomenon,Jod
Joerger,Jörger
Joh,Joh
Johannisberger,Johannisberger
Jonigkeit,Jonigkeit
Jost,Jost
judenrein,judenrein
Juenger,Jünger
jugendstil,Jugendstil
Juhnke,Juhnke
Jungfrau,Jungfrau
Kabel,Kabel
Kachel,Kachel
kachelofen,Kachelofen
Kaden,Kaden
Kaeding,Käding
Kaeser,Käser
kaffeeklatsch,Kaffeeklatsch
Kafka,Kafka
Kagel,Kagel
Kahler,Kahler
Kahnwald,Kahnwald
