loan_word,original_word,loan_word_ipas,original_word_ipas
राय,رأی,['/ɾɑːj/'],"['/ɾaʔj/', '/ɾaʔj/', '/ɾæʔj/', '/ɾaʔj/']"
रास्ता,راسته,['/ɾɑːs.t̪ɑː/'],"['/ɾɑːsta/', '/ɾɒːsta/', '/ɾɒːste/', '/ɾɔːsta/']"
राह,راه,['/ɾɑːɦ/'],[]
रिआया,رعایا,[],[]
रियासत,ریاست,['/ɾɪ.jɑː.sət̪/'],['/ɾiː.jɑː.sət̪/']
रिवाज,رواج,['/ɾɪ.ʋɑːd͡ʒ/'],['/ræˈvɒːd͡ʒ/']
रिश्ता,رشته,['/ɾɪʃ.t̪ɑː/'],[]
रिश्वत,رشوه,[],[]
रिश्वतख़ोर,رشوت خور,"['/ɾɪʃ.ʋət̪.kʰoːɾ/', '/ɾɪʃ.ʋət̪.xoːɾ/']",[]
रिसालदार,رسالدار,[],[]
रिहा,رها,['/ɾɪ.ɦɑː/'],[]
रिहाई,رهائی,['/ɾɪ.ɦɑː.iː/'],[]
रुख़,رخ,"['/ɾʊkʰ/', '/ɾʊx/']","['/rax.xa/', '/raxx/', '/ruxx/', '/rox/']"
रुख़सार,رخسار,"['/ɾʊkʰ.sɑːɾ/', '/ɾʊx.sɑːɾ/']",[]
रूद,رود,[],"['/ɾoːd/', '/ɾoːd/', '/ɾuːd/', '/ɾɵːd/']"
रूबरू,روبارو,['/ɾuː.bᵊ.ɾuː/'],[]
रूम,روم,[],[]
रूमाल,رومال,['/ɾuː.mɑːl/'],[]
रूस,روس,['/ɾuːs/'],"['/ruːs/', '/raw.wa.sa/', '/ɾuːs/', '/ɾuːs/', '/ɾuːs/', '/ɾus/', '/ɾuːs/']"
रूसी,روسی,['/ɾuː.siː/'],"['/ɾuːsiː/', '/ɾuːsiː/', '/ɾuːsiː/', '/ɾusiː/']"
रूह,روح,['/ɾuːɦ/'],"['/ruːħ/', '/rawħ/', '/ɾuːh/', '/ɾuːh/', '/ɾuːh/', '/ɾɵːh/', '/raw.waħ/']"
रेग,ریگ,[],"['/ɾeːɡ/', '/ɾeːɡ/', '/ɾiːɡ/', '/ɾeɡ/']"
रेगिस्तान,ریگستان,[],"['/ɾeːɡistɑːn/', '/ɾeːɡɪstɒːn/', '/ɾiːɡestɒːn/', '/ɾeɡistɔːn/']"
रेशम,ابریشم,[],"['/abɾiːʃam~abɾiːʃum/', '/abɾiːʃam~abɾiːʃʊm/', '/æbɾiːʃæm~æbɾiːʃom/', '/abɾiʃam~abɾiʃum/']"
रेशमी,ابریشمی,[],[]
रोज़गार,روزگار,"['/ɾoːd͡ʒ.ɡɑːɾ/', '/ɾoːz.ɡɑːɾ/']","['/ɾyz.ɟaːɾ/', '/ɾoːzɡɑːɾ~ɾoːziɡɑːɾ/', '/ɾoːzɡɒːɾ~ɾoːzɪɡɒːɾ/', '/ɾuːzɡɒːɾ~ɾuːzeɡɒːɾ/', '/ɾɵːzɡɔːɾ~ɾɵːziɡɔːɾ/']"
रोज़मर्रा,روزمره,"['/ɾoːd͡ʒ.məɾ.ɾɑː/', '/ɾoːz.məɾ.ɾɑː/']",[]
रोज़ाना,روزانه,"['/ɾoː.d͡ʒɑː.nɑː/', '/ɾoː.zɑː.nɑː/']",[]
रोज़ी,روزی,"['/ɾoː.d͡ʒiː/', '/ɾoː.ziː/']",[]
रोशनी,روشنی,['/ɾoːʃ.niː/'],"['/ɾawʃaniː/', '/ɾawʃaniː/', '/ɾowʃæniː/', '/ɾavʃaniː/', '/ɾɔːʃ.niː/', '/ɾoːʃ.niː/']"
रौज़न,روزن,"['/ɾɔː.d͡ʒən/', '/ɾɔː.zən/']",['/ɾɔː.zən/']
रौनक़,رونق,"['/ɾɔː.nək/', '/ɾɔː.nəq/']","['/raw.naq/', '/ɾawnaq/', '/ɾawnaq/', '/ɾownæɢ/', '/ɾavnaq/']"
रौशन,روشن,['/ɾɔː.ʃən/'],"['/roːʃən/', '/ɾawʃan/', '/ɾawʃan/', '/ɾowʃæn/', '/ɾavʃan/']"
रौशनी,روشنی,['/ɾɔːʃ.niː/'],"['/ɾawʃaniː/', '/ɾawʃaniː/', '/ɾowʃæniː/', '/ɾavʃaniː/', '/ɾɔːʃ.niː/', '/ɾoːʃ.niː/']"
लज़ीज़,لذیذ,"['/lə.d͡ʒiːd͡ʒ/', '/lə.ziːz/']",[]
लद्दाख़,لداخ,"['/ləd̪.d̪ɑːkʰ/', '/ləd̪.d̪ɑːx/']","['/ləd̪ː.ɑːxᵊ/', '/lə.d̪ːɑːx/']"
